Name,Gender,pronunciation,Type,Sub-type,Igbo Orthography,Translation,Meaning,Related Names,Notes,Famous persons,Name Spread,Ndebe Script
Odumegwu,,,,,/?-d?-m-egwu/ A dialectal var. of Odimegwu,,,,,,,
Odunze,,,,,/?d?-Nze/ The place of Nze,,,,,,,
Ofiaeli,,,,,,,,,,,,
Ofili,,,,,,,,,,,,
Ofodile,,,,,/?f?-d?-?le/ Potent Ofor,,,,,,,
Ofodum,,,,,/?f?-dum/ May Ofor lead me,,,,,,,
Ofoedu,,,,,/?f?-edu/ Ofor leads (you),,,,,,,
Ofonagoro,,,,,/?f?-na-ag?r?/ Ofor defends me or absolves me of wrongdoing in a case,,,,,,,
Ofor,,,,,/?f?/ 1. A sacred article made from the branch of the ofor tree (detarium senegalense) or other sacred tree like ogirisi (newbouldia laevis) upon which sacrifices could be made to the gods. 2. The sacred article with which you declare your good intention and good will. 3. A symbol of one's good intention and good will,,,,,,,
Oforchebe,,,,,/?f?-chebe/ May Ofor protect (you),,,,,,,
Oforjebe,,,,,/?f?-jebe/ May Ofor go forth,,,,,,,
Oforkansi,,,,,/?f?-ka-ns?/ Ofor is potent against ns? (a juju designed to cause ill fortune) . ,,,,,,,
Oforle,,,,,/?f?-lee/ May Ofor prevail,,,,,,,
Oforma,,,,,/?f?-ma/ Ofor knows (it's wielder),,,,,,,
Ogadimma,,,,,/?-ga-ad?-mma/ It will be well,,,,,,,
Ogban,,,,,,,,,,,,
Ogbatulenyi,,,,,/?gbatulu-enyi/ One who fell the elephant,,,,,,,
Ogbo,,,,,/Ogbo/ Short for Ogboogu. He/she has settled a dispute. ,,,,,,,
Ogbonna,,,,,/Ogbo-Nna/ Father's confidant,,,,,,,
Ogbonnaya,,,,,/Ogbo-Nna-ya/ His father's confidant,,,,,,,
Ogbuagu,,,,,/Ogbu-ag?/ One who kills leopards. As show of great skill and courage,,,,,,,
Ogbuawa,,,,,,,,,,,,
Ogbueshi,,,,,/Ogbu-eshi/ Slaughterer of cattle. *In display of wealth,,,,,,,
Ogbuke,,,,,,,,,,,,
Oge,,,,,/Oge/ Time. ,,,,,,,
Ogechukwu,,,,,/Oge-chukwu/ God's time,,,,,,,
Ogemdi,,,,,/Oge-m-d?/ Short for Ogemdinakachukwu,,,,,,,
Ogemdinakachukwu,,,,,/Oge-m-d?-na-aka-chukwu/ My time is in God's hands,,,,,,,
Ogenna,,,,,/Ogenna/ The father's Time,,,,,,,
Ogidika,,,,,/Ogidi-ka/ Ogidi reigns supreme. *Ogidi is a town in Anambra state,,,,,,,
Ogo,,,,,"/?g?/ Favour. Commonly Ogonna, Ogochukwu",,,,,,,
Ogochukwu,,,,,/?g?-chukwu/ The Favour of God,,,,,,,
Ogoegbunam,,,,,/?g?-egbuna-m/ May the favour done for others not destroy me. Also rendered as Ogoegbunem A var. of Mmaegbunem,,,,,,,
Ogomegbunam,,,,,/?g?-m-egbuna-m/ May the favour I do for others not destroy me.,,,,,,,
Ogonna,,,,,/?g?-Nna/ The father's favour,,,,,,,
Ogu,,,,,/?g?/ War,,,,,,,
Oguchi,,,,,/?g?-chi/ God's battle,,,,,,,
Ogudo,,,,,,,,,,,,
Oguebue,,,,,/?g?-ebue/ The fight is over,,,,,,,
Oguejiofor,,,,,/?g?-eji-?f?/ The battle entered with clear conscience,,,,,,,
Ogugua,,,,,/?g?g?a/ One who console. Also rendered as Oguguo,,,,,,,
Oguguo,,,,,/?g?g??/ One who console. Also rendered as Ogugua,,,,,,,
Ogunor,,,,,/?g?-?n?/ The war within one's family,,,,,,,
Oguzor,,,,,/?g?-?z?/ The war outside one's home,,,,,,,
Ogwugwu,,,,,/Ogwugwu/ 1. A deity of the Abatete people. 2. A child so named as homage to the deity,,,,,,,
Ogwuma,,,,,,,,,,,,
Ohaeri,,,,,/?ha-eri/ Eri's people,,,,,,,
Ohaeto,,,,,/?ha-etoo/ The people give their praises (for something done),,,,,,,
Ohaka,,,,,/?ha-ka/ lit: The people are supreme. A dialectal var. of Oraka. possibly short for Ohakeze meaning The people are greater than the king,,,,,,,
Ohakem,,,,,,,,,,,,
Ohiaeri,,,,,/?h?a-Eri/ Eri's forest,,,,,,,
Ojekwe,,,,,,,,,,,,
Ojiakor,,,,,"/?j?-ak?/ lit: The Iroko shall not become scarce. imp: Greatness will always be found. Full expression ""?j? ak? na obu"": Iroko/Greatness will always be found in the family.Also rendered as Orjiakor",,,,,,,
Ojianyaeje,,,,,"/Oji-anya-eye/ lit: One who transverses a place by observation. See Kainene, Anene, Anyalebechi for context",,,,,,,
Ojiba,,,,,/?j?-ba/ lit: Let the Iroko tree abound imp: Let greatness abound,,,,,,,
Ojiegbu,,,,,,,,,,,,
Ojike,,,,,/Oji-ike/ One who wields great strength/ Power. The powerful,,,,,,,
Ojukwu,,,,,,,,,,,,
Okadigbo,,,,,"/?ka-di-gboo/ a contraction of ""Okika di gboo"" My greatness was from time immemorial.",,,,,,,
Okafor,,,,,/Okaf?/ Contraction of the name Okoroafor. A man born on Afor day,,,,,,,
Okagbue,,,,,/?kagbue/ He/She has nullified (a situation),,,,,,,
Okaka,,,,,/?kaaka/ One greater than the greatest,,,,,,,
Okechukwu,,,,,/Oke-chukwu/ God's creation. See also Okose and Okosa,,,,,,,
Okeke,,,,,Contraction of the name Okereke. A man born on Eke day,,,,,,,
Okelue,,,,,,,,,,,,
Okenna,,,,,/Oke-Nna/ The Father's portion or inheritance,,,,,,,
Okenyeka,,,,,"/Okenye-ka/ contraction of the name ""Okike enyeka"". Creation did gift us well",,,,,,,
Okeoma,,,,,/Oke-?ma/ A Good Portion/Inheritance,,,,,,,
Okere,,,,,/Okere/ Man. A dialectal var of Okoro,,,,,,,
Okereke,,,,,/Okere-eke/ Man born on an Eke day,,,,,,,
Okezie,,,,,/Okezie/ 1. That one has made a fair apportionment. 2. One whose coming is seen as a fair apportionment. A more personalised var. of Ekezie,,,,,,,
Okiche,,,,,/Oke-iche/ A Great missile,,,,,,,
Okigbo,,,,,/?ka-igbo/ One greater than all Igbo,,,,,,,
Okike,,,,,"/Okike/ 1. The creative process 2. Creation 3. The creative essence of Chi. Commonly in the expression ""Chukwu onye okike"": God who creates. See the name Nwokike and Ekeh",,,,,,,
Okiwe,,,,,/Oke-iwe/ Great Anger,,,,,,,
Okocha,,,,,/Oko-?cha/A contraction of Okorocha A var. of Nwokeocha,,,,,,,
Okodugbo,,,,,/?-ka-?d?-gboo/ Is this the way it has been.,,,,,,,
Okoli,,,,,"/Okoli/ A child born on Oye day. A dialectal var of Okorie, Okoye",,,,,,,
Okolo,,,,,/Okolo/ A man. Also rendered as Okoro in other (esp. Anambra area) dialects,,,,,,,
Okolobu,,,,,/Okolo-Obu/ The man of the household,,,,,,,
Okolue,,,,,,,,,,,,
Okongwu,,,,,"/Oko-Ngwu/ 1. A contraction of ""Okolo-Ogwugwu"" or ""Okolo-Ngwu"" A man born on the month of celebration of Ogwugwu/Ngwu deity or a child believed to have been given by or to have come from the deity or one dedicated to the deity. ",,,,,,,
Okonjo,,,,,,,,,,,,
Okonkwo,,,,,/Oko-Nkw?/ A man born on Nkwo day. contraction of the name Okoronkwo,,,,,,,
Okoro,,,,,/Okoro/ A man or a male child. Also rendered as Okolo in other (esp. Imo  and Abia area) dialects.,,,,,,,
Okoroabia,,,,,/Okoro-ab?a/ A man has come,,,,,,,
Okoroafor,,,,,/Okoro-af?/ A man born on the Afor day,,,,,,,
Okorocha,,,,,/Okoro-?cha/ Fair complexioned male child,,,,,,,
Okorogu,,,,,/Okoro-?g?/ A man of battles. *Particularly of a child born at a time of war or strife. A var. of Nwaogu,,,,,,,
Okoronkwo,,,,,/Okoro-Nkw?/ A man born on the Nkwo day. Also  Okonkwo,,,,,,,
Okosa,,,,,"/Oke-Osa/ contraction of ""Okike"" and ""Olisa"". The Lord's creation A var of Okechukwu and Okose",,,,,,,
Okose,,,,,"/Oke-Ose/ contraction of ""Okike"" and ""Olisa"".  The Lord's creation A var of Okechukwu and Okosa",,,,,,,
Okoye,,,,,/Okoro-Oye/. A man born on Oye day,,,,,,,
Okpachie,,,,,,,,,,,,
Okpaleke,,,,,/Okpala-Eke/ The first son of creation,,,,,,,
Okparaku,,,,,/?kpara-Ak?/ lit: First Child of wealth. imp: First of the many wealth to come,,,,,,,
Okparanozie,,,,,/?kpara-An?z?e/ The first male child has found his footing or has found stability or taken a vantage position. A dialectal var. of Oparanozie,,,,,,,
Okuani,,,,,,,,,,,,
Okudo,,,,,,,,,,,,
Okwara,,,,,,,,,,,,
Okwesirieze,,,,,/O-kwes?r?-eze/ Something befitting of a king,,,,,,,
Okwuchi,,,,,/Okwu-Chi/ The word/decree of Chi. May be rendered as Okwuchukwu,,,,,,,
Okwuchukwu,,,,,/Okwu-Chukwu/ The word/decree of Chukwu,,,,,,,
Okwudili,,,,,/Okwu-d?l?/ short for Okwudilichukwu Let God be the Judge. A dialectal var. of Okwudiri,,,,,,,
Okwudiri,,,,,/Okwu-d?r?/ short for Okwudirichukwu Let God be the Judge. A dialectal var. of Okwudili,,,,,,,
Okwudirichukwu,,,,,/Okwu-d?r?-chukwu/ Let God be the Judge,,,,,,,
Okwuka,,,,,/Okwu-ka/ Speeches are better than war,,,,,,,
Okwuma,,,,,,,,,,,,
Okwuosa,,,,,"/Okwu-osa/ A contraction of the ""Okwu"" and ""Olisa"". The word of the Lord.  A var. of Okwuchukwu. Also See Osa",,,,,,,
Okwute,,,,,/Okwute/ Rock,,,,,,,
Olaedo,,,,,/?la-edo/ Precious stone for decoration,,,,,,,
Olamma,,,,,/?la-mma/ Precious stone for beautification,,,,,,,
Oli,,,,,,,,,,,,
Olisa,,,,,"/Olisa/ short for the expression: ""Olisa-b?l?-?wa"": ""The Lord who bears the weight of the world"". In relation to one of the essence of God as one who supports the universe.Also rendered in different igbo dialects as Olise-bulu-uwa or Ose-bulu-uwa (Shortened to Olise or Oliseh or Ose or Osa) See: Chi",,,,,,,
Olisadebe,,,,,/Olisa-debe/ May the Lord keep (me). A var of Chukwu,,,,,,,
Olisah,,,,,/Olisa/ The Lord. see Olisa,,,,,,,
Olisakwe,,,,,/Olisa-kwe/ If Olisa agrees or approves,,,,,,,
Olise,,,,,/Olise/ The Lord. see Olisa,,,,,,,
Oliseh,,,,,/Olise/ The Lord. see Olisa,,,,,,,
Oluchukwu,,,,,/?lu-Chukwu/ The works of God,,,,,,,
Oluomachukwu,,,,,/?lu-?ma-Chukwu/ The good works of God,,,,,,,
Omaliko,,,,,/?maliko/ A deity of the Abatete people. A child born on the month of celebration of Omaliko deity or dedicated to the deity,,,,,,,
Omasilachi,,,,,/?-mas?la-chi/ It has pleased God,,,,,,,
Omeliora,,,,,/O-meli-?ra/ The benefactor of the people,,,,,,,
Omelonye,,,,,/Omel?-onye/ Who did he wrong,,,,,,,
Omenankiti,,,,,"/O-me-na-nk?t?/ Full expression: Ndi- iro na eme na nk?t?"": (his) enemies work in vain",,,,,,,
Omenni,,,,,,,,,,,,
Omenugha,,,,,,,,,,,,
Omile,,,,,/Ome-?le/ One who brings things to reality,,,,,,,
Onah,,,,,,,,,,,,
Onejeme,,,,,/One-jee-eme/ How many more would happen (before we sufficiently react). A warning against indifference,,,,,,,
Onele,,,,,,,,,,,,
Onenyi,,,,,,,,,,,,
Oniah,,,,,,,,,,,,
Onike,,,,,,,,,,,,
Onochie,,,,,/?n?chi-e/ One who sits or stands in stead of another. One who has taken control and acts in the stead of another. Possibly (prophetic) for a child who is seen to be destined for great things and high ambition. An active var. of Edochie,,,,,,,
Ononenyi,,,,,/?n?-na-enyi/ One who sits on the elephant,,,,,,,
Ononuju,,,,,/?-n?-na-uju/ One who sits in the midst of abundance,,,,,,,
Ononye,,,,,/?-n?nye/ short for /?-n?-nyelu-m/ He/She is by me,,,,,,,
Onovo,,,,,,,,,,,,
Onuabuchi,,,,,/?n?-abugh?-chi/ lit: The mouth is no one's Chi. imp: The words of men are not the judgement of God,,,,,,,
Onuachu,,,,,,,,,,,,
Onubiyi,,,,,,,,,,,,
Onubuogu,,,,,/?n?-b?-?g?/ lit: A mouth triggers war imp: One whose opinions are weighty,,,,,,,
Onuchukwu,,,,,/?n?-chukwu/ God's Mouthpiece,,,,,,,
Onuegbu,,,,,/?n?-egbu/ One who can't be killed or who refuses to be cowered by slander,,,,,,,
Onuekwusi,,,,,,,,,,,,
Onumba,,,,,,,,,,,,
Onunze,,,,,/?n?-Nze/ The voice of an Nze,,,,,,,
Onuorah,,,,,/?n?-?ra/ The voice of the people,,,,,,,
Onuzulike,,,,,/?n?-zulu-ike/ Let (slanderous) lips rest,,,,,,,
Onwe,,,,,/Onwe/ lit: Self,,,,,,,
Onwuaraghi,,,,,/?nw?-aragh?/ Death holds on tenaciously,,,,,,,
Onwuasoanya,,,,,/?nw?-as?-anya/ Death is irreverent. A var. of Ezeasoanya,,,,,,,
Onwuasor,,,,,/?nw?-as?/ short for Onwuasoanya,,,,,,,
Onwuatuelo,,,,,/?nw?-at?-elo/ Death does not counsel/reason with its victim (before it strikes),,,,,,,
Onwubiko,,,,,"/?nw?-biko/ Death, please",,,,,,,
Onwudinjor,,,,,/?nw?-d?-nj?/ Death is terrible,,,,,,,
Onwudiwe,,,,,/?nw?-di-iwe/ Death provokes anger,,,,,,,
Onwuegbune,,,,,/?nw?-egbune/ May death not stike,,,,,,,
Onwuegbusi,,,,,/?nw?-egbusi/ Death has annihilated ,,,,,,,
Onwuegbuzia,,,,,/?nw?-egbu-zia/ And Death strikes again,,,,,,,
Onwuemelie,,,,,/?nw?-emeli-e/ Death has won (against us),,,,,,,
Onwuezurike,,,,,/?nw?-ezuru-ike/ Death has taken a rest,,,,,,,
Onwughalu,,,,,,,,,,,,
Onwukwe,,,,,/?nw?-kwe/ Let death permit (someone to live). *plea for the long life of a child who had arrived after previous premature deaths and unsuccessful pregnancies.See also Ndukwe,,,,,,,
Onwuli,,,,,,,,,,,,
Onwuliora,,,,,,,,,,,,
Onwumbiko,,,,,"/?nw?-m-biko/ My Death, please.",,,,,,,
Onwumelu,,,,,/?nw?-mel?/ Death wrought,,,,,,,
Onwura,,,,,/?nw?-raa/ May death leave us,,,,,,,
Onwuria,,,,,/O??r?a/ He/She rejoices,,,,,,,
Onwusoba,,,,,/?nw?-s?ba/ May death find us unappealing,,,,,,,
Onwuteaka,,,,,/?nw?-tee-aka/ May death stay far away,,,,,,,
Onwuzalume,,,,,/?nw?-zal?-Ume/ The death that heed the noble man,,,,,,,
Onwuzurike,,,,,/?nw?-zuru-ike/ Let death take a rest,,,,,,,
Onwuzurume,,,,,/?nw?-zuru-ka-emee/ Death is formidable or capable,,,,,,,
Onyeachonam,,,,,/Onye-ach?na-m/ Do not incite or agitate me,,,,,,,
Onyeagba,,,,,,,,,,,,
Onyeaka,,,,,/Onye-aka/ My helper,,,,,,,
Onyeama,,,,,,,,,,,,
Onyeanwuna,,,,,/Onye-anw?na/ No one should die,,,,,,,
Onyebeke,,,,,/Onye-b?-eke/ Who (which man) is the creative force by himself,,,,,,,
Onyebuchi,,,,,/Onye-b?-Chi/ Who is god (unto another)? A dialectal var. of Onyewuchi,,,,,,,
Onyechi,,,,,/Onye-Chi/ God's own,,,,,,,
Onyedika,,,,,See: Onyedikachi,,,,,,,
Onyedikachi,,,,,/Onye-d?-ka-Chi/ Who is comparable to God?,,,,,,,
Onyeisi,,,,,/Onye-isi/ The Head or The leader.,,,,,,,
Onyejekwe,,,,,/Onye-jee-ekwe/ Who would approve/accept/believe (it)?. See: Muojekwe,,,,,,,
Onyekachi,,,,,/Onye-ka-Chi/ Who is greater than God?,,,,,,,
Onyekaonwu,,,,,/Onye-ka-?nw?/ Who is mightier than Death?,,,,,,,
Onyekuru,,,,,/Onye-kuru/ Who sowed?,,,,,,,
Onyekwelu,,,,,/Onye-kwelu/ Who is worthy? ,,,,,,,
Onyema,,,,,/Onye-ma/ Who knows? Commonly short for Onyemaechi,,,,,,,
Onyemaechi,,,,,/Onye-ma-echi/ Who knows what tomorrow will bring?,,,,,,,
Onyemelukwe,,,,,,,,,,,,
Onyenaucheya,,,,,/Onye-na-uche-ya/ Everyone bears his thought/mind,,,,,,,
Onyenyilionwu,,,,,/Onye-ny?l?-?nw?/ Who has overcome or subdued death?,,,,,,,
Onyeogu,,,,,/Onye-?g?/ A fighter,,,,,,,
Onyeso ,,,,,/Onye-so/ Who is accompanying me. Possibly /Onye-som-eje/?,,,,,,,
Onyeukwu,,,,,/Onye-Ukwu/ The great one,,,,,,,
Onyewuchi,,,,,/Onye-wu-Chi/ Who is god (unto another)? dialectal var. of Onyebuchi,,,,,,,
Onyinye,,,,,/Onyinye/ Gift.,,,,,,,
Onyiorah,,,,,/?ny?-?ra/ Something or one who has wearied the people.,,,,,,,
Onyirimba,,,,,,,,,,,,
Opara,,,,,"/?para/The first male child of the family. dialectal var. of Okpara, Okpala",,,,,,,
Oparanozie,,,,,/?para-An?z?e/ The first male child has found his footing or has found stability or taken a vantage position. A dialectal var. of Okparanozie,,,,,,,
Oputa,,,,,,,,,,,,
Orabuenyi,,,,,/?ra-b?-enyi/ The people are the elephant. The elephant is a metaphor for the supremacy of the people,,,,,,,
Orachili,,,,,/?ra-ch?l?/ The people ruled/led,,,,,,,
Oraekwu,,,,,Short for Oranekwu,,,,,,,
Oraka,,,,,/?ra-ka/The people are superior. could also be short for Orakeze,,,,,,,
Orakeze,,,,,/Ora-ka-eze/ The people are superior to the king,,,,,,,
Oranekwu,,,,,/?ra-na-ekwu/ The people speak,,,,,,,
Oranika,,,,,,,,,,,,
Oranu,,,,,/?ran?/ That the people may hear,,,,,,,
Oranusi,,,,,,,,,,,,
Oranyelu,,,,,"/?ra-nyelu/ Gift from the people. Possible expression: Ike-Ora-Nyelu: ""Authority/Power given by the people""",,,,,,,
Orie,,,,,/Orie/ One of the four Igbo Market days. One of the four days in the Igbo week. A dialectal var. of Oye,,,,,,,
Orizu,,,,,,,,,,,,
Orji,,,,,/?j?/ Iroko. Metaphor for a greatness,,,,,,,
Orjiakor,,,,,"/?j?-ak?/ lit: The Iroko shall not become scarce. imp: Greatness will always be found. Full expression ""?j? ak? na obu"": Iroko/Greatness will always be found in the family.Also rendered as Ojiakor",,,,,,,
Oruchili,,,,,/Oru-Chili/ A slave (who) ruled,,,,,,,
Osadebe,,,,,"/Osa-debe/ Olisa keep or preserve (me). See also Anidebe, Chidebelu",,,,,,,
Osakwe,,,,,/Osa-kwe/ Contraction for Olisakwe.,,,,,,,
Ose,,,,,/Ose/ short for Olise or Oliseh,,,,,,,
Oseloka,,,,,/Ose-eloka/ Ose counseled or reasoned well,,,,,,,
Osemeka,,,,,/Ose-emeka/Ose has done so much,,,,,,,
Osigwe,,,,,One who came from above/from the sky/from heaven. Contraction of the words: Osi-na-igwe.,,,,,,,
Osinachi,,,,,/O-si-na-chi/ It came from God,,,,,,,
Osinyi,,,,,,,,,,,,
Osita,,,,,/Osi-ta/ see Ositadimma,,,,,,,
Ositadimma,,,,,"/Osi-ta-d?-mma/ from the expression; ""Osi-ta-d?-mma-?d?bal?-gboo"": If it starts today to get better it started earl. Often shortened to Osita. See also the name Tagbo",,,,,,,
Osuala,,,,,/Osu-Ala/ One set aside for Ala,,,,,,,
Osuizugbe,,,,,,,,,,,,
Osuji,,,,,,,,,,,,
Osuzoka,,,,,,,,,,,,
Ote,,,,,,,,,,,,
Oti,,,,,,,,,,,,
Otiono,,,,,,,,,,,,
Ovie,,,,,,,,,,,,
Oye,,,,,/Oye/ One of the four Igbo Market days. A dialectal var. of Orie,,,,,,,
Oyeocha,,,,,,,,,,,,
Oyinna,,,,,/Oyi-Nna/ One who resembles the father,,,,,,,
Ozioma,,,,,/Ozi-?ma/ Good news,,,,,,,
Ozo,,,,,"/?z?/ 1. A prestigeous title acquired by the igbos. A more distinguished title than the Nze titles. In some igbo communities, there are sub-categories of Ozo-titleship- ?z?-Ume, ?z?-Eze, ?z?-Dim and titled men often append these to their given names as identifiers this is responsible for the Ume- (e.g. Ume-okeke) and Eze- (e.g. Eze-nwankwo) prefix names 2. Someone who has acquired this title. Also rendered as Ozoh or Ozor",,,,,,,
Ozoekwe,,,,,/?z?-ekwe/ Ozo title has agreed (to be taken). Imp: That prestige has chosen them,,,,,,,
Ozoemena,,,,,/?z?-emene/ This kind (of event or situation) should not repeat itself or befall us a second time. A dialectal variation of Odoemena. ,,,,,,,
Ozoh,,,,,/?z?/ 1. A prestigeous title acquired by the igbos. A more distinguished title than the Nze titles 2. Someone who has acquired this title. Also rendered as Ozo or Ozor,,,,,,,
Ozohili,,,,,,,,,,,,
Ozor,,,,,"/?z?/ 1. A prestigeous title, the highest title, acquired by male members of Igbo community. A more distinguished title than the Nze titles 2. Someone who has acquired this title. Also rendered as Ozo or Ozoh",,,,,,,
Ozua,,,,,/?z?a/ One has provided or catered (for another). ,,,,,,,
Ozumba,,,,,/Ozuru-Mba/ One sufficient for communities/nations,,,,,,,
Ralu,,,,,Hands off short for Raluchukwu: ,,,,,,,
Raluchineke,,,,,Hands off for God. A var. of Raluchukwu,,,,,,,
Raluchukwu,,,,,Hands off for God.. A var. of Raluchineke,,,,,,,
Ralueke,,,,,/Ralu-eke/ contraction of Raluchineke,,,,,,,
Somadina,,,,,"/So-m-adina/ May I not exit in isolation. Drawing from the Igbo ""Egbe belu; Ugo belu"" dictum, Somadina is a prayer that: May others live and prosper even as I live and prosper",,,,,,,
Somto,,,,,/Som-to/ Short for Somtochukwu,,,,,,,
Somtochukwu,,,,,/Som-to-chukwu/ Praise God with me,,,,,,,
Sopuluchukwu,,,,,/S?p?l?-Chukwu/ Respect god,,,,,,,
Tagbo,,,,,/Taa-bu-gboo/ lit: Today is early. imp: Today is the earliest time to begin anew or to correct course.,,,,,,,
Tobenna,,,,,/Tobe-nna/ Praise the father,,,,,,,
Tochukwu,,,,,/To-chukwu/ Praise God,,,,,,,
Turugo,,,,,/Turu-ugo/ Gain Honour or Be honored,,,,,,,
Uba,,,,,"/?ba/ Increase, abundance or prosperity",,,,,,,
Ubadike,,,,,/?ba-Dike/ The prosperity of a man of great feat,,,,,,,
Ubaezuonu,,,,,/?ba-ezu-?n?/ Prosperity never satisfies,,,,,,,
Ubah,,,,,See Uba,,,,,,,
Ubaka,,,,,/?ba-ka/ Increase/abundance (in population or material prosperity) is priceless,,,,,,,
Ubani,,,,,,,,,,,,
Uche,,,,,/Uche/ Will/Thoughts,,,,,,,
Uchechukwu,,,,,/Uche-Chukwu/ The will/ thoughts of God,,,,,,,
Uchegbu,,,,,/Uche-egbu/ Short for Uchegbunam,,,,,,,
Uchegbunam,,,,,/Uche-egbuna-m/ May I not die from worrying.,,,,,,,
Ucheime,,,,,,,,,,,,
Uchenabo,,,,,/Uche-n-abo/ ,,,,,,,
Uchendu,,,,,/Uche-Nd?/ The will/thoughts of Ndu,,,,,,,
Uchenna,,,,,/Uche-Nna/ The will/ thoughts of the Father,,,,,,,
Udeagbala,,,,,/Ude-agbala/ The fame of the Agbala,,,,,,,
Udealor,,,,,/Ude-Al?/ The fame of Alor,,,,,,,
Udegbunam,,,,,/Ude-egbuna-m/ May (my) fame not destroy me,,,,,,,
Udeh,,,,,/Ude/ Fame,,,,,,,
Udekwe,,,,,/Ude-ekwe/lit: Fame agrees with me. imp: One who would be fame,,,,,,,
Udemezue,,,,,/Udemezue/ May my fame become a reality,,,,,,,
Udeogu,,,,,/Ude-?g?/ The fame of a battle.,,,,,,,
Udeozo,,,,,/Ude-?z?/ Fame of the Ozo titled chief,,,,,,,
Udo,,,,,/Udo/ 1. Peace. 2. The god of purity and holiness,,,,,,,
Udochukwu,,,,,/Udo-chukwu/ God's peace,,,,,,,
Udoh,,,,,,,,,,,,
Udoka,,,,,/Udo-ka/ 1. Peace is above all else. 2. Udo (the goddess of purity) is above all else,,,,,,,
Udokaogu,,,,,/Udo-ka-?g?/ Peace is far more desired than war,,,,,,,
Udokwelu,,,,,/Udo-kwel?/ The Udo deity is worthy. A var of Chikwelu,,,,,,,
Udokwu,,,,,,,,,,,,
Udorji,,,,,,,,,,,,
Udum,,,,,,,,,,,,
Ugboma,,,,,/?gb?-?ma/ A good boat,,,,,,,
Ughaerumba,,,,,/Ugha-erughi-mba/ Deceit which does not reach a nation,,,,,,,
Ughaogalanya,,,,,/?gha-?galanya/ The deception of the wealthy,,,,,,,
Ugo,,,,,"/Ugo/ 1. Eagle 2. Triumph, Honour, Prestige. The eagle is a symbol of elegance, honour, prestige amongst the Igbos which is why titled men symbolically fix a white feather of an eagle on their caps",,,,,,,
Ugoala,,,,,/Ugo-ala/ Honour bequeated by Ala,,,,,,,
Ugoama,,,,,,,,,,,,
Ugoanyanwu,,,,,"/Ugo-Anyanw?/ The honour bestowed by Anyanwu (the Sun goddess). A var. of Ugochukwu, Ugoala",,,,,,,
Ugobude,,,,,/Ugo-b?-Ude/ Honour (which) brings fame,,,,,,,
Ugochi,,,,,"/Ugo-Chi/ God's honour. Short for the expression ""Ugo-chi-nyelu"".The honour bestowed by God A var. of Ugochukwu usually given to a female child",,,,,,,
Ugochukwu,,,,,"/Ugo-Chukwu/ lit: God's honour. Short form of the expression: ""Ugo-chukwu-nyelu"" The honor bestowed by God",,,,,,,
Ugonna,,,,,/Ugo-Nna/ The father's honour,,,,,,,
Ugorji,,,,,/Ugo-?j?/ lit: The honour of the iroko. imp: The honour of a great man,,,,,,,
Ugosinachi,,,,,/Ugo/ Honour comes from God,,,,,,,
Ugwu (1),,,,,"/Ùgwù/ Hill, mountain, highland",,,,,,,
Ugwu (2),,,,,/Úgwù/ Reverence/Dignity,,,,,,,
Ugwunna,,,,,/Úgwù-nna/ The dignity of the father,,,,,,,
Ujam,,,,,,,,,,,,
Uju,,,,,/Uju/ Abundance or fullness. Short for Obianuju,,,,,,,
Ujumadu,,,,,/Uju-Mmad?/ Multitude of people,,,,,,,
Ukamaka,,,,,/?ka-amaka/ Uka is beautiful. For one born on the Christian day of worship- Uka. ,,,,,,,
Ukanle,,,,,,,,,,,,
Ukeh,,,,,,,,,,,,
Ukobasi,,,,,/Uko-?bas?/ God's Pride. A var. of Ukochukwu. See also Ukoha,,,,,,,
Ukochukwu,,,,,/Uko-chukwu/ lit: God's Pride. Imp: One who is manifest of God's upliftment. A var. of Ukobasi,,,,,,,
Ukoha,,,,,/Uko-?ha/ The people's pride,,,,,,,
Ukpabi,,,,,,,,,,,,
Ukpai,,,,,,,,,,,,
Ukwu,,,,,/Ukwu/ Great,,,,,,,
Uloma,,,,,/?l?-?ma/ The good home,,,,,,,
Uma,,,,,,,,,,,,
Umeadi,,,,,/?me-ad?/ Nobility has come,,,,,,,
Umealor,,,,,/Ume-al?/ A distinguished person (child) who arrived on the season of celebration of Alor deity and or believed to have been given by the Alor deity,,,,,,,
Umeh,,,,,/?me/ 1. An Ozo titled person of the Ume category. see Ozo for more. 2. (prefix. in  Ume-names) used as identifiers for men who had taken the Ume category of Ozo title eg. Ume+birth name 3. fig: A distinguished person. A person of importance,,,,,,,
Umennadi,,,,,/?me-Nnadi/ Proper rendering is Ume-Nnadi. See Ozo for context,,,,,,,
Umenwa,,,,,/?me-Nwa/ Difficulty in conceiving or keeping a pregnancy. A child born after a long difficult search for a child- a reminder to how difficult it was for the family.Hence the name Nwabuogo by those who acknowledge this sometimes difficult situation,,,,,,,
Umeobiaeli,,,,,/?me-?b?a-eli/ 1. lit: An important person who visits must feed. Meaning that the person/child who has arrived will have a good life. 2. Proper rendering is Ume-?b?aeli. See Ozo for context.,,,,,,,
Umeobiekwe,,,,,/Ume-Obiekwe/ Proper rendering is Ume-?haka. See Ozo for context,,,,,,,
Umeoduagu,,,,,/Ume-?d?-ag?/ Proper rendering is Ume-Oduagu. See Umeh or Ozo for detail,,,,,,,
